Club,Country,UCL,UEL,CWC,USC,UIC,IC,Total
Real Madrid,Spain,13,2,0,4,0,3,22
Milan,Italy,7,0,2,5,0,3,17
Barcelona,Spain,5,0,4,5,0,0,14
Liverpool,England,6,3,0,3,0,0,12
Juventus,Italy,2,3,1,2,1,2,11
Bayern Munich,Germany,5,1,1,1,0,2,10
Ajax,Netherlands,4,1,1,2,0,2,10
Internazionale,Italy,3,3,0,0,0,2,8
Atlético Madrid,Spain,0,3,1,3,0,1,8
Manchester United,England,3,1,1,1,0,1,7
Porto,Portugal,2,2,0,1,0,2,7
Chelsea,England,1,2,2,1,0,0,6
Sevilla,Spain,0,5,0,1,0,0,6
Anderlecht,Belgium,0,1,2,2,0,0,5
Valencia,Spain,0,1,1,2,1,0,5
Feyenoord,Netherlands,1,2,0,0,0,1,4
Hamburger SV,Germany,1,0,1,0,2,0,4
Parma,Italy,0,2,1,1,0,0,4
Nottingham Forest,England,2,0,0,1,0,0,3
Borussia Dortmund,Germany,1,0,1,0,0,1,3
Aston Villa,England,1,0,0,1,1,0,3
Tottenham Hotspur,England,0,2,1,0,0,0,3
Schalke 04,Germany,0,1,0,0,2,0,3
Dynamo Kyiv,Ukraine,0,0,2,1,0,0,3
Benfica,Portugal,2,0,0,0,0,0,2
PSV Eindhoven,Netherlands,1,1,0,0,0,0,2
Steaua București,Romania,1,0,0,1,0,0,2
Marseille,France,1,0,0,0,1,0,2
Red Star Belgrade,Serbia,1,0,0,0,0,1,2
Borussia Mönchengladbach,Germany,0,2,0,0,0,0,2
IFK Göteborg,Sweden,0,2,0,0,0,0,2
Galatasaray,Turkey,0,1,0,1,0,0,2
Zenit St. Petersburg,Russia,0,1,0,1,0,0,2
Aberdeen,Scotland,0,0,1,1,0,0,2
Lazio,Italy,0,0,1,1,0,0,2
KV Mechelen,Belgium,0,0,1,1,0,0,2
Paris Saint-Germain,France,0,0,1,0,1,0,2
Werder Bremen,Germany,0,0,1,0,1,0,2
West Ham United,England,0,0,1,0,1,0,2
VfB Stuttgart,Germany,0,0,0,0,2,0,2
Villarreal,Spain,0,0,0,0,2,0,2
Celtic,Scotland,1,0,0,0,0,0,1
Bayer Leverkusen,Germany,0,1,0,0,0,0,1
CSKA Moscow,Russia,0,1,0,0,0,0,1
Eintracht Frankfurt,Germany,0,1,0,0,0,0,1
Ipswich Town,England,0,1,0,0,0,0,1
Napoli,Italy,0,1,0,0,0,0,1
Shakhtar Donetsk,Ukraine,0,1,0,0,0,0,1
Arsenal,England,0,0,1,0,0,0,1
Dinamo Tbilisi,Georgia,0,0,1,0,0,0,1
Everton,England,0,0,1,0,0,0,1
Fiorentina,Italy,0,0,1,0,0,0,1
Magdeburg,Germany,0,0,1,0,0,0,1
Manchester City,England,0,0,1,0,0,0,1
Rangers,Scotland,0,0,1,0,0,0,1
Real Zaragoza,Spain,0,0,1,0,0,0,1
Sampdoria,Italy,0,0,1,0,0,0,1
Slovan Bratislava,Slovakia,0,0,1,0,0,0,1
Sporting CP,Portugal,0,0,1,0,0,0,1
Auxerre,France,0,0,0,0,1,0,1
Bastia,France,0,0,0,0,1,0,1
Bologna,Italy,0,0,0,0,1,0,1
Bordeaux,France,0,0,0,0,1,0,1
Braga,Portugal,0,0,0,0,1,0,1
Celta Vigo,Spain,0,0,0,0,1,0,1
Fulham,England,0,0,0,0,1,0,1
Guingamp,France,0,0,0,0,1,0,1
Karlsruhe,Germany,0,0,0,0,1,0,1
Lens,France,0,0,0,0,1,0,1
Lille,France,0,0,0,0,1,0,1
Lyon,France,0,0,0,0,1,0,1
Málaga,Spain,0,0,0,0,1,0,1
Montpellier,France,0,0,0,0,1,0,1
Newcastle United,England,0,0,0,0,1,0,1
Perugia,Italy,0,0,0,0,1,0,1
Strasbourg,France,0,0,0,0,1,0,1
Silkeborg,Denmark,0,0,0,0,1,0,1
Troyes,France,0,0,0,0,1,0,1
Udinese,Italy,0,0,0,0,1,0,1
